mu,sigma,Ann_Ret,Ann_Vol,Sharpe,Ticker,Sector
0.0005846349378639418,0.02702707361477912,0.14732800434171334,0.4290414927032464,0.34338870912798913,F,Cons. Disc.
0.0009714642960573613,0.03539293425279786,0.24480900260645502,0.5618454132105768,0.43572305984938575,FANG,Energy
0.0006534541797687789,0.016974446120934603,0.16467045330173227,0.2694609784743479,0.6111105742808268,FAST,Industrials
0.0014059794149438862,0.03202494981633733,0.35430681256585933,0.5083803177801133,0.6969325919480336,FCX,Materials
0.00021704420768352799,0.018232445574179332,0.05469514033624905,0.2894311006907926,0.18897464787200396,FDS,Financials
0.0006808914263442546,0.02303585289172244,0.17158463943875216,0.36568282793859413,0.4692171092801898,FDX,Industrials
0.00012300724871568475,0.017814650605859936,0.030997826676352556,0.2827988111796692,0.10961088042431287,FE,Utilities
0.0005928761672846364,0.019877007731186908,0.14940479415572838,0.3155377155889726,0.4734926659301383,FFIV,Technology
0.0013394574751351316,0.026759299448783858,0.3375432837340532,0.4247907095987392,0.7946107956383964,FICO,Technology
-0.00024399761294448342,0.02199659318925746,-0.061487398462009825,0.3491850916165942,-0.17608826933975488,FIS,Financials
-5.9902711441580334e-05,0.02312133754481818,-0.015095483283278244,0.3670398547366179,-0.04112764074111388,FISV,Financials
0.0006270140332598374,0.026541861603871515,0.15800753638147905,0.4213389908192279,0.37501285146731395,FITB,Financials
-0.000854728368806281,0.028541288087418175,-0.2153915489391828,0.4530789022605529,-0.47539522997987044,FMC,Materials
0.0005876354770294758,0.020233041099323983,0.1480841402114279,0.32118957009216104,0.46104903147676046,FOX,Comm. Svc.
0.0006662041459990138,0.020779338855788428,0.16788344479175146,0.32986177812454576,0.5089508876907946,FOXA,Comm. Svc.
0.00010170237140837694,0.0222967886166453,0.02562899759491099,0.353950546290116,0.07240841372767412,FRT,Real Estate
0.0015959279830403724,0.03454907103038368,0.40217385172617387,0.5484494998482078,0.7332924031063607,FSLR,Technology
0.0012590768892340406,0.028283195438990213,0.3172873760869782,0.4489818084828264,0.7066820305239927,FTNT,Technology
0.00024987200437307666,0.018386579623293122,0.06296774510201532,0.2918779028659276,0.21573316953335514,FTV,Industrials
0.0005399369202023544,0.015382330997606415,0.1360641038909933,0.24418693442488001,0.5572128755023588,GD,Industrials
0.0006457308324914345,0.02239619385423456,0.1627241697878415,0.3555285555161869,0.4576964839057289,GDDY,Technology
0.0013800240619328457,0.023981185032693565,0.3477660636070771,0.3806895104467892,0.9135162752420677,GE,Industrials
0.0006156602747962417,0.0201680524256394,0.15514638924865293,0.3201579068805291,0.4845933394565443,GEHC,Healthcare
0.0002972914915283058,0.02232590911215342,0.07491745586513306,0.35441281982513284,0.21138472333505684,GEN,Technology
0.004221462036778435,0.03408127274370897,1.0638084332681657,0.5410234322665075,1.9662890178555794,GEV,Industrials
0.0005585954369940676,0.01673967672321315,0.14076605012250504,0.26573412982343164,0.5297251437594326,GILD,Healthcare
2.539350418072876e-05,0.014215954296039368,0.006399163053543648,0.22567127830068276,0.028356125341823295,GIS,Cons. Staples
0.0005476711348245571,0.024735475061204788,0.1380131259757884,0.39266349343792833,0.3514793921060179,GL,Financials
0.000936750479363767,0.021244365872016117,0.2360611207996693,0.33724385315173494,0.6999716039107735,GLW,Other
0.0008684407165519635,0.02656998562511667,0.21884706057109482,0.4217854458157186,0.5188587295795665,GM,Cons. Disc.
0.0007309045115687015,0.03264664418005218,0.18418793691531277,0.5182494098473934,0.35540404564966077,GNRC,Cons. Disc.
0.0012186505713155395,0.020351183264716303,0.30709994397151597,0.3230650188260335,0.9505824712544488,GOOG,Technology
0.001218462601599829,0.02045695027152337,0.3070525756031569,0.32474401800759656,0.9455218836270425,GOOGL,Technology
0.0003014580117767639,0.020006665010267537,0.0759674189677445,0.31759596108567245,0.23919516705457117,GPC,Cons. Disc.
-0.0002784684649521308,0.02451239183260839,-0.07017405316793697,0.38912215697071567,-0.18033939191290535,GPN,Financials
0.0006684786597645569,0.019487480071156412,0.16845662226066835,0.30935415568564295,0.5445429426584114,GRMN,Cons. Disc.
0.001090794007874014,0.02067825847640738,0.2748800899842515,0.32825717684692385,0.8373924756942521,GS,Financials
0.0008711961489521686,0.017798050649024125,0.2195414295359465,0.2825352950342974,0.7770407216177929,GWW,Industrials
